nome_munip,pop_munip,total_casos,taxa_casos_100mil,porte_populacional
RIBEIRÃO VERMELHO,4061,1,24.62,Pequeno porte
LAGOA DOS PATOS,4062,1,24.62,Pequeno porte
ALMENARA,42380,10,23.60,Médio porte
SERRA AZUL DE MINAS,4292,1,23.30,Pequeno porte
SÃO JOSÉ DA SAFIRA,4291,1,23.30,Pequeno porte
MATA VERDE,8700,2,22.99,Pequeno porte
SANTA EFIGÊNIA DE MINAS,4354,1,22.97,Pequeno porte
GONÇALVES,4360,1,22.94,Pequeno porte
MONSENHOR PAULO,8764,2,22.82,Pequeno porte
JOANÉSIA,4382,1,22.82,Pequeno porte
PEQUI,4457,1,22.44,Pequeno porte
LUZ,18297,4,21.86,Pequeno porte
BERTÓPOLIS,4609,1,21.70,Pequeno porte
CARLOS CHAGAS,18516,4,21.60,Pequeno porte
AMPARO DO SERRA,4643,1,21.54,Pequeno porte
ABAETÉ,23263,5,21.49,Médio porte
BAEPENDI,19249,4,20.78,Pequeno porte
BARRA LONGA,4905,1,20.39,Pequeno porte
ITINGA,15053,3,19.93,Pequeno porte
CARNEIRINHO,10103,2,19.80,Pequeno porte
JOSÉ RAYDAN,5104,1,19.59,Pequeno porte
SABARÁ,137877,27,19.58,Grande porte
RIO DO PRADO,5117,1,19.54,Pequeno porte
GUARACIABA,10307,2,19.40,Pequeno porte
CRISTIANO OTONI,5161,1,19.38,Pequeno porte
CENTRALINA,10343,2,19.34,Pequeno porte
JANUÁRIA,67958,13,19.13,Médio porte
BONFINÓPOLIS DE MINAS,5397,1,18.53,Pequeno porte
SÃO BENTO ABADE,5411,1,18.48,Pequeno porte
DATAS,5431,1,18.41,Pequeno porte
CATAS ALTAS,5465,1,18.30,Pequeno porte
PERDIZES,16469,3,18.22,Pequeno porte
MESQUITA,5489,1,18.22,Pequeno porte
ENGENHEIRO CALDAS,11268,2,17.75,Pequeno porte
SÃO DOMINGOS DAS DORES,5672,1,17.63,Pequeno porte
JUVENÍLIA,5706,1,17.53,Pequeno porte
ESTIVA,11416,2,17.52,Pequeno porte
PORTO FIRME,11414,2,17.52,Pequeno porte
ARCOS,40658,7,17.22,Médio porte
SERRA DO SALITRE,11750,2,17.02,Pequeno porte
AIURUOCA,5949,1,16.81,Pequeno porte
ITUMIRIM,5978,1,16.73,Pequeno porte
PONTO DOS VOLANTES,12235,2,16.35,Pequeno porte
BOTUMIRIM,6259,1,15.98,Pequeno porte
PIRACEMA,6386,1,15.66,Pequeno porte
SANTA HELENA DE MINAS,6406,1,15.61,Pequeno porte
BOM JARDIM DE MINAS,6444,1,15.52,Pequeno porte
CARANDAÍ,25831,4,15.49,Médio porte
HELIODORA,6623,1,15.10,Pequeno porte
CORAÇÃO DE JESUS,26620,4,15.03,Médio porte
OURO BRANCO,40220,6,14.92,Médio porte
PERIQUITO,6738,1,14.84,Pequeno porte
TUMIRITINGA,6797,1,14.71,Pequeno porte
MONTE AZUL,20544,3,14.60,Médio porte
JOÃO PINHEIRO,47990,7,14.59,Médio porte
MEDINA,20701,3,14.49,Médio porte
ITAJUBÁ,97782,14,14.32,Médio porte
GUIDOVAL,7026,1,14.23,Pequeno porte
CHAPADA GAÚCHA,14217,2,14.07,Pequeno porte
CAMPOS GERAIS,28908,4,13.84,Médio porte
REDUTO,7247,1,13.80,Pequeno porte
ALTEROSA,14566,2,13.73,Pequeno porte
MATIAS BARBOSA,14626,2,13.67,Pequeno porte
SANTO ANTÔNIO DO RETIRO,7316,1,13.67,Pequeno porte
BOTELHOS,14927,2,13.40,Pequeno porte
DIONÍSIO,7493,1,13.35,Pequeno porte
FORMIGA,67956,9,13.24,Médio porte
FRUTAL,60508,8,13.22,Médio porte
MOEMA,7589,1,13.18,Pequeno porte
CHAPADA DO NORTE,15334,2,13.04,Pequeno porte
JOAÍMA,15476,2,12.92,Pequeno porte
CAMPOS ALTOS,15661,2,12.77,Pequeno porte
ITAMONTE,15844,2,12.62,Pequeno porte
PAPAGAIOS,15922,2,12.56,Pequeno porte
INHAPIM,24020,3,12.49,Médio porte
PASSA TEMPO,8031,1,12.45,Pequeno porte
RIACHINHO,8132,1,12.30,Pequeno porte
CAPINÓPOLIS,16294,2,12.27,Pequeno porte
SÃO JOAQUIM DE BICAS,32696,4,12.23,Médio porte
SANTA BÁRBARA DO LESTE,8212,1,12.18,Pequeno porte
PAVÃO,8390,1,11.92,Pequeno porte
IBIAÍ,8478,1,11.80,Pequeno porte
PRATÁPOLIS,8530,1,11.72,Pequeno porte
SÃO GONÇALO DO SAPUCAÍ,25670,3,11.69,Médio porte
SÃO DOMINGOS DO PRATA,17296,2,11.56,Pequeno porte
CAPITÓLIO,8693,1,11.50,Pequeno porte
SANTA CRUZ DE MINAS,8723,1,11.46,Pequeno porte
NOVA ERA,17524,2,11.41,Pequeno porte
SANTA RITA DO SAPUCAÍ,44226,5,11.31,Médio porte
SANTA RITA DE CALDAS,8900,1,11.24,Pequeno porte
MORADA NOVA DE MINAS,8955,1,11.17,Pequeno porte
GUARANÉSIA,19014,2,10.52,Pequeno porte
SANTO ANTÔNIO DO MONTE,28603,3,10.49,Médio porte
FERROS,9576,1,10.44,Pequeno porte
LONTRA,9766,1,10.24,Pequeno porte
FRANCISCO BADARÓ,10311,1,9.70,Pequeno porte
CONCEIÇÃO DA APARECIDA,10351,1,9.66,Pequeno porte
NOVO CRUZEIRO,31339,3,9.57,Médio porte
ITAOBIM,20997,2,9.53,Médio porte
MACHADO,42682,4,9.37,Médio porte
ALTO RIO DOCE,10723,1,9.33,Pequeno porte
PEDRO LEOPOLDO,65149,6,9.21,Médio porte
DELTA,10994,1,9.10,Pequeno porte
IAPU,11085,1,9.02,Pequeno porte
PEDRALVA,11098,1,9.01,Pequeno porte
MANHUMIRIM,22894,2,8.74,Médio porte
ANTÔNIO CARLOS,11471,1,8.72,Pequeno porte
CARMO DA MATA,11546,1,8.66,Pequeno porte
JOÃO MONLEVADE,80903,7,8.65,Médio porte
CACHOEIRA DE MINAS,11609,1,8.61,Pequeno porte
PIUMHI,35137,3,8.54,Médio porte
NOVA LIMA,97378,8,8.22,Médio porte
CARMO DA CACHOEIRA,12193,1,8.20,Pequeno porte
ARAÇUAÍ,36715,3,8.17,Médio porte
CANÁPOLIS,12251,1,8.16,Pequeno porte
ILICÍNEA,12511,1,7.99,Pequeno porte
RIO VERMELHO,12635,1,7.91,Pequeno porte
SÃO GERALDO,12751,1,7.84,Pequeno porte
CAPELINHA,38321,3,7.83,Médio porte
MAR DE ESPANHA,12985,1,7.70,Pequeno porte
CRISTAIS,13060,1,7.66,Pequeno porte
JAÍBA,39850,3,7.53,Médio porte
ÁGUA BOA,13319,1,7.51,Pequeno porte
CONCEIÇÃO DO RIO VERDE,13729,1,7.28,Pequeno porte
GUAPÉ,14269,1,7.01,Pequeno porte
BRAZÓPOLIS,14364,1,6.96,Pequeno porte
ASTOLFO DUTRA,14358,1,6.96,Pequeno porte
CARMO DE MINAS,15031,1,6.65,Pequeno porte
ENTRE RIOS DE MINAS,15458,1,6.47,Pequeno porte
