-,-,-,-,-,-,-,-,habitante,habitante,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,habitante,1.000 m³/ano,1.000 m³/ano,amostra/ano,amostra/ano,amostra/ano,amostra/ano,amostra/ano,amostra/ano
cod_munip,nome_munip,cod_prestador,nome_prestador,sigla_prestador,abrangencia_prestador,tipo_prestador,tipo_servico,pop_munip,pop_atendida_agua,vol_agua_anual,vol_agua_eta,vol_agua_desinfec,vol_agua_fluor,pop_atendida_esgoto,vol_esgoto_coletado,vol_esgoto_tratado,amostra_cloro,amostra_cloro_irregular,amostra_turbidez,"amostra_turbidez_irregular",amostra_coliformes,amostra_coliformes_irregular
310480,Aricanduva,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos,5.305,2.482,"133,14","125,85","7,29","125,85",2.000,"81,76","81,76",3.540,5,3.540,2,451,0
310490,Arinos,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,17.850,10.248,662,"639,42","22,58",662,,,,3.728,0,3.561,5,360,11
310500,Astolfo Dutra,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,14.358,11.987,"957,58","846,86","110,72","957,58",,,,5.728,0,5.638,3,702,4
310510,Ataléia,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,12.496,5.265,"316,4","316,4",0,"316,4",3.882,"137,64","131,13",3.813,0,3.800,7,140,0
310530,Augusto de Lima,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,4.833,2.771,"220,71","220,71",0,"220,71",,,,531,0,529,0,161,0
310540,Baependi,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,19.249,13.675,"1.154,56","1.154,56",0,"1.154,56",,,,8.557,0,8.549,0,324,0
310550,Baldim,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,7.780,4.374,"468,72",0,"468,72","468,72",,,,754,1,741,4,227,0
310560,Bambuí,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,23.964,19.872,"1.783,22","594,41","1.188,81","1.783,22",,,,3.517,0,2.572,0,489,1
310570,Bandeira,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos,4.738,2.730,"237,45","237,45",0,"205,66",2.120,"108,61",0,5.060,0,5.060,2,325,0
310590,Bandeira do Sul,31053011,"Serviço de Água, Esgoto e Limpeza Pública",SAELP,Local,Autarquia,Água e Esgoto,5.808,5.808,458,183,275,0,5.808,207,0,1.976,0,1.976,0,70,2
