nome_munip,vol_esgoto_coletado,vol_esgoto_tratado,volume_esgoto_in_natura,taxa_tratamento_pct,taxa_media_estado_pct
JOÃO PINHEIRO,1414.12,1379.72,34.40,97.57,63.99
SALINAS,946.49,926.20,20.29,97.86,63.99
DELFINÓPOLIS,185.28,181.65,3.63,98.04,63.99
PORTEIRINHA,347.90,341.18,6.72,98.07,63.99
SÃO ROQUE DE MINAS,203.73,199.97,3.76,98.15,63.99
SÃO TIAGO,231.75,229.00,2.75,98.81,63.99
CAPETINGA,20.35,20.14,0.21,98.97,63.99
ARAÚJOS,336.40,334.20,2.20,99.35,63.99
GUARDA-MOR,168.95,167.96,0.99,99.41,63.99
POUSO ALEGRE,5885.91,5853.49,32.42,99.45,63.99
CORAÇÃO DE JESUS,200.02,199.01,1.01,99.50,63.99
SÃO JOÃO DEL REI,437.04,434.91,2.13,99.51,63.99
ARAÇUAÍ,599.89,599.76,0.13,99.98,63.99
ALFENAS,3484.32,3483.65,0.67,99.98,63.99
NOVA SERRANA,2940.26,2940.26,0.00,100.00,63.99
ICARAÍ DE MINAS,44.79,44.79,0.00,100.00,63.99
NOVO ORIENTE DE MINAS,191.49,191.49,0.00,100.00,63.99
NOVA BELÉM,45.25,45.25,0.00,100.00,63.99
IBIAÍ,65.94,65.94,0.00,100.00,63.99
INHAÚMA,87.34,87.34,0.00,100.00,63.99
IPATINGA,9091.08,9091.08,0.00,100.00,63.99
OURO BRANCO,1361.55,1361.55,0.00,100.00,63.99
GRÃO MOGOL,85.38,85.38,0.00,100.00,63.99
GONÇALVES,43.36,43.36,0.00,100.00,63.99
GOIABEIRA,103.20,103.20,0.00,100.00,63.99
PADRE CARVALHO,63.44,63.44,0.00,100.00,63.99
GLAUCILÂNDIA,32.58,32.58,0.00,100.00,63.99
PAPAGAIOS,1030.00,1030.00,0.00,100.00,63.99
PARÁ DE MINAS,4715.96,4715.96,0.00,100.00,63.99
ITACARAMBI,194.30,194.30,0.00,100.00,63.99
PARAGUAÇU,860.20,860.20,0.00,100.00,63.99
