codigo_ibge,nome_municipio,sigla_uf,perc_atendimento_agua,perc_atendimento_esgoto
313980,Mar de Espanha,MG,82.44,0.0
313990,Maria da Fé,MG,56.52,0.0
314010,Marilac,MG,71.51,0.0
314015,Mário Campos,MG,89.5,0.0
314020,Maripá de Minas,MG,79.03,0.0
314050,Martinho Campos,MG,82.43,48.94
314053,Martins Soares,MG,22.74,0.0
314055,Mata Verde,MG,79.62,79.62
314060,Materlândia,MG,45.8,0.0
314070,Mateus Leme,MG,69.93,39.82
314080,Matias Barbosa,MG,92.81,0.0
314085,Matias Cardoso,MG,49.83,0.0
314090,Matipó,MG,72.99,0.0
314100,Mato Verde,MG,77.48,0.0
314110,Matozinhos,MG,81.98,60.79
314120,Matutina,MG,69.09,0.0
314130,Medeiros,MG,55.17,0.0
314140,Medina,MG,65.47,60.99
314160,Mercês,MG,68.06,0.0
314180,Minas Novas,MG,37.13,20.5
314190,Minduri,MG,80.62,0.0
314200,Mirabela,MG,62.44,32.43
314210,Miradouro,MG,54.22,0.0
314220,Miraí,MG,66.39,0.0
314225,Miravânia,MG,23.47,0.0
314230,Moeda,MG,38.22,0.0
314250,Monjolos,MG,60.58,0.0
314260,Monsenhor Paulo,MG,74.69,0.0
314270,Montalvânia,MG,65.43,8.54
314290,Monte Azul,MG,59.87,5.73
314300,Monte Belo,MG,62.14,0.0
314320,Monte Santo de Minas,MG,75.92,0.0
314330,Montes Claros,MG,83.92,85.43
314340,Monte Sião,MG,74.18,74.18
314345,Montezuma,MG,40.21,0.0
314350,Morada Nova de Minas,MG,74.43,53.39
314360,Morro da Garça,MG,53.42,0.0
314380,Munhoz,MG,54.38,0.0
314400,Mutum,MG,43.26,29.27
314410,Muzambinho,MG,76.37,0.0
314420,Nacip Raydan,MG,53.9,0.0
314430,Nanuque,MG,80.49,61.09
314435,Naque,MG,86.49,0.0
314440,Natércia,MG,57.58,43.96
314450,Nazareno,MG,63.62,0.0
314465,Ninheira,MG,26.78,0.0
314480,Nova Lima,MG,92.6,22.64
314490,Nova Módica,MG,65.05,52.2
314505,Nova Porteirinha,MG,56.15,22.3
314510,Nova Resende,MG,56.27,0.0
314520,Nova Serrana,MG,74.11,73.17
314530,Novo Cruzeiro,MG,31.22,22.39
314570,Oliveira Fortes,MG,56.86,0.0
314580,Onça de Pitangui,MG,48.05,0.0
314587,Orizânia,MG,29.79,0.0
314590,Ouro Branco,MG,86.76,85.42
314620,Ouro Verde de Minas,MG,57.74,52.96
314630,Padre Paraíso,MG,53.73,0.0
314640,Paineiras,MG,73.83,0.0
314655,Pai Pedro,MG,26.45,0.0
314670,Palma,MG,71.6,0.0
314675,Palmópolis,MG,76.77,0.0
314700,Paracatu,MG,80.77,75.15
314740,Paraopeba,MG,81.19,0.0
314750,Passabém,MG,60.65,30.64
314770,Passa Tempo,MG,75.35,0.0
314780,Passa-Vinte,MG,62.15,0.0
314795,Patis,MG,37.71,0.0
314800,Patos de Minas,MG,86.98,85.01
314820,Patrocínio do Muriaé,MG,80.57,0.0
314830,Paula Cândido,MG,53.8,0.0
314840,Paulistas,MG,48.66,0.0
314860,Peçanha,MG,50.68,0.0
314870,Pedra Azul,MG,72.42,67.39
314880,Pedra do Anta,MG,67.94,0.0
314890,Pedra do Indaiá,MG,52.75,0.0
314910,Pedralva,MG,49.13,43.5
314915,Pedras de Maria da Cruz,MG,52.23,11.38
314920,Pedrinópolis,MG,72.01,0.0
314930,Pedro Leopoldo,MG,83.33,63.16
314950,Pequeri,MG,83.47,0.0
314970,Perdigão,MG,79.77,0.0
314980,Perdizes,MG,66.7,0.0
314990,Perdões,MG,83.35,73.65
314995,Periquito,MG,66.33,0.0
315015,Piedade de Caratinga,MG,60.44,0.0
315020,Piedade de Ponte Nova,MG,73.53,0.0
315030,Piedade do Rio Grande,MG,67.92,0.0
315040,Piedade dos Gerais,MG,45.25,0.0
315053,Pingo-d Água,MG,84.95,0.0
315057,Pintópolis,MG,35.28,0.0
315070,Pirajuba,MG,70.36,71.48
315080,Piranga,MG,32.12,0.0
315090,Piranguçu,MG,34.03,0.0
315100,Piranguinho,MG,61.18,0.0
315110,Pirapetinga,MG,74.1,67.57
315130,Piraúba,MG,72.73,0.0
315140,Pitangui,MG,82.53,0.0
315160,Planura,MG,91.96,0.0
315170,Poço Fundo,MG,53.24,0.0
315200,Pompéu,MG,78.87,0.0
315213,Ponto Chique,MG,59.95,0.0
315220,Porteirinha,MG,52.64,19.44
315230,Porto Firme,MG,45.69,0.0
315240,Poté,MG,47.51,38.74
315250,Pouso Alegre,MG,87.31,87.31
315270,Prados,MG,69.92,69.18
315280,Prata,MG,66.78,0.0
315310,Presidente Bernardes,MG,31.03,27.71
315320,Presidente Juscelino,MG,50.62,0.0
315340,Presidente Olegário,MG,70.49,0.0
315350,Alto Jequitibá,MG,47.42,0.0
315360,Prudente de Morais,MG,84.81,55.48
315370,Quartel Geral,MG,77.19,23.4
315390,Raposos,MG,83.83,70.95
315420,Resende Costa,MG,73.2,35.19
315430,Resplendor,MG,58.97,45.24
315440,Ressaquinha,MG,64.63,0.0
315445,Riachinho,MG,55.18,0.0
315450,Riacho dos Machados,MG,49.0,28.63
315460,Ribeirão das Neves,MG,80.82,71.09
315470,Ribeirão Vermelho,MG,88.87,0.0
315490,Rio Casca,MG,71.12,57.03
315520,Rio Espera,MG,31.98,0.0
315530,Rio Manso,MG,51.91,0.0
315540,Rio Novo,MG,74.69,0.0
315550,Rio Paranaíba,MG,61.85,0.0
315560,Rio Pardo de Minas,MG,35.4,13.45
315570,Rio Piracicaba,MG,73.92,0.0
315580,Rio Pomba,MG,79.15,0.0
315600,Rio Vermelho,MG,39.18,0.0
315610,Ritápolis,MG,72.22,0.0
315630,Rodeiro,MG,76.29,0.0
315645,Rosário da Limeira,MG,53.27,0.0
315660,Rubim,MG,64.53,0.0
315670,Sabará,MG,76.61,63.03
315700,Salinas,MG,72.86,59.09
315710,Salto da Divisa,MG,76.65,0.0
315720,Santa Bárbara,MG,72.71,0.0
315725,Santa Bárbara do Leste,MG,51.53,0.0
315730,Santa Bárbara do Tugúrio,MG,47.53,0.0
315740,Santa Cruz do Escalvado,MG,28.19,0.0
315750,Santa Efigênia de Minas,MG,58.91,0.0
315760,Santa Fé de Minas,MG,50.84,0.0
315770,Santa Juliana,MG,77.85,0.0
315780,Santa Luzia,MG,76.26,67.98
315790,Santa Margarida,MG,49.91,0.0
315800,Santa Maria de Itabira,MG,52.47,0.0
315820,Santa Maria do Suaçuí,MG,62.29,44.96
315830,Santana da Vargem,MG,75.37,74.3
315840,Santana de Cataguases,MG,76.11,0.0
315850,Santana de Pirapama,MG,43.95,0.0
315860,Santana do Deserto,MG,36.81,0.0
315880,Santana do Jacaré,MG,88.12,0.0
315890,Santana do Manhuaçu,MG,37.41,0.0
315895,Santana do Paraíso,MG,84.34,84.34
315900,Santana do Riacho,MG,39.18,0.0
315920,Santa Rita de Caldas,MG,59.2,49.39
315935,Santa Rita de Minas,MG,69.19,0.0
315940,Santa Rita de Ibitipoca,MG,46.92,0.0
315950,Santa Rita do Itueto,MG,40.71,0.0
315960,Santa Rita do Sapucaí,MG,82.28,80.75
315970,Santa Rosa da Serra,MG,61.59,0.0
315980,Santa Vitória,MG,80.85,0.0
316000,Santo Antônio do Aventureiro,MG,63.58,0.0
316010,Santo Antônio do Grama,MG,82.23,0.0
316020,Santo Antônio do Itambé,MG,30.99,0.0
316030,Santo Antônio do Jacinto,MG,52.45,0.0
316040,Santo Antônio do Monte,MG,83.26,80.37
316045,Santo Antônio do Retiro,MG,22.94,19.9
316060,Santo Hipólito,MG,64.16,0.0
316070,Santos Dumont,MG,75.61,52.97
316080,São Bento Abade,MG,85.86,0.0
316090,São Brás do Suaçuí,MG,88.12,0.0
316095,São Domingos das Dores,MG,41.1,0.0
316100,São Domingos do Prata,MG,55.26,0.0
316110,São Francisco,MG,57.87,30.8
316120,São Francisco de Paula,MG,72.6,0.0
316130,São Francisco de Sales,MG,66.41,0.0
316150,São Geraldo,MG,56.94,0.0
316170,São Gonçalo do Abaeté,MG,43.12,40.68
316180,São Gonçalo do Pará,MG,65.32,0.0
316200,São Gonçalo do Sapucaí,MG,74.11,0.0
316210,São Gotardo,MG,90.5,87.01
316240,São João da Ponte,MG,28.83,8.82
316245,São João das Missões,MG,17.33,0.0
316250,São João del Rei,MG,14.19,12.48
316255,São João do Manhuaçu,MG,44.21,41.2
316260,São João do Oriente,MG,74.35,0.0
316270,São João do Paraíso,MG,45.73,27.57
316280,São João Evangelista,MG,66.32,0.0
316290,São João Nepomuceno,MG,85.17,67.95
316292,São Joaquim de Bicas,MG,66.07,27.75
316294,São José da Barra,MG,70.46,0.0
316295,São José da Lapa,MG,53.86,53.86
316300,São José da Safira,MG,59.75,0.0
316320,São José do Alegre,MG,72.69,0.0
316340,São José do Goiabal,MG,67.77,0.0
316350,São José do Jacuri,MG,31.77,25.06
316360,São José do Mantimento,MG,54.17,0.0
316380,São Miguel do Anta,MG,54.08,0.0
316390,São Pedro da União,MG,59.39,0.0
316400,São Pedro dos Ferros,MG,66.39,0.0
316410,São Pedro do Suaçuí,MG,44.01,0.0
316420,São Romão,MG,44.37,16.77
316430,São Roque de Minas,MG,58.01,53.14
316443,São Sebastião da Vargem Alegre,MG,56.66,0.0
316447,São Sebastião do Anta,MG,60.73,0.0
316450,São Sebastião do Maranhão,MG,28.94,20.18
316460,São Sebastião do Oeste,MG,53.05,0.0
316470,São Sebastião do Paraíso,MG,88.06,84.3
316500,São Tiago,MG,75.33,51.44
316510,São Tomás de Aquino,MG,73.72,0.0
316520,São Thomé das Letras,MG,57.59,0.0
316530,São Vicente de Minas,MG,76.54,0.0
316540,Sapucaí-Mirim,MG,58.94,51.44
316550,Sardoá,MG,34.47,0.0
316553,Sarzedo,MG,90.16,80.83
316557,Senador Amaral,MG,57.17,0.0
316590,Senador Modestino Gonçalves,MG,42.85,0.0
316610,Senhora do Porto,MG,37.14,0.0
316630,Sericita,MG,52.83,0.0
316650,Serra Azul de Minas,MG,35.14,25.44
316660,Serra da Saudade,MG,64.59,60.7
316670,Serra dos Aimorés,MG,65.6,36.57
316680,Serra do Salitre,MG,68.37,0.0
316690,Serrania,MG,81.71,0.0
316695,Serranópolis de Minas,MG,38.5,0.0
316710,Serro,MG,50.48,38.64
316730,Silveirânia,MG,65.9,0.0
316760,Simonésia,MG,30.93,0.0
316770,Sobrália,MG,58.31,0.0
316790,Tabuleiro,MG,69.09,0.0
316800,Taiobeiras,MG,68.03,42.63
316810,Tapira,MG,57.98,0.0
316820,Tapiraí,MG,49.87,0.0
316830,Taquaraçu de Minas,MG,45.75,23.2
316840,Tarumirim,MG,53.51,0.0
316850,Teixeiras,MG,65.28,0.0
316860,Teófilo Otoni,MG,69.01,61.71
316870,Timóteo,MG,86.6,86.71
316880,Tiradentes,MG,63.81,48.06
316890,Tiros,MG,69.92,0.0
316910,Toledo,MG,37.37,0.0
316930,Três Corações,MG,81.17,77.96
316935,Três Marias,MG,84.27,64.48
316950,Tumiritinga,MG,61.5,0.0
316970,Turmalina,MG,69.76,59.22
316980,Turvolândia,MG,61.56,0.0
316990,Ubá,MG,81.5,73.17
317000,Ubaí,MG,35.87,0.0
317005,Ubaporanga,MG,45.64,0.0
317043,União de Minas,MG,52.08,52.99
317050,Urucânia,MG,72.02,0.0
317052,Urucuia,MG,38.72,0.0
317057,Vargem Alegre,MG,70.33,0.0
317060,Vargem Bonita,MG,54.41,0.0
317065,Vargem Grande do Rio Pardo,MG,51.02,0.0
317070,Varginha,MG,92.05,90.66
317075,Varjão de Minas,MG,79.64,0.0
317080,Várzea da Palma,MG,78.02,24.52
317090,Varzelândia,MG,47.63,7.7
317100,Vazante,MG,76.59,68.69
317103,Verdelândia,MG,52.59,0.0
317110,Veríssimo,MG,55.92,0.0
317120,Vespasiano,MG,84.31,79.81
317140,Vieiras,MG,50.9,0.0
317150,Mathias Lobato,MG,75.1,0.0
317160,Virgem da Lapa,MG,51.37,0.0
317180,Virginópolis,MG,60.6,0.0
317190,Virgolândia,MG,63.64,0.0
317200,Visconde do Rio Branco,MG,75.47,69.87
317210,Volta Grande,MG,62.96,0.0
317220,Wenceslau Braz,MG,44.16,0.0
310390,Araújos,MG,86.41,82.95
310800,Bom Sucesso,MG,99.95,82.22
314610,Ouro Preto,MG,87.13,55.5
314710,Pará de Minas,MG,100.0,99.42
314720,Paraguaçu,MG,82.39,82.39
315990,Santo Antônio do Amparo,MG,87.56,87.56
313670,Juiz de Fora,MG,95.96,94.67
310030,Abre Campo,MG,69.64,69.64
310040,Acaiaca,MG,98.12,63.9
310050,Açucena,MG,,47.46
310070,Água Comprida,MG,,99.95
310080,Aguanil,MG,63.64,58.15
310110,Aimorés,MG,100.0,91.15
310120,Aiuruoca,MG,52.75,52.75
310163,Alfredo Vasconcelos,MG,,66.35
310180,Alpercata,MG,,78.79
310200,Alterosa,MG,,100.0
310205,Alto Caparaó,MG,74.57,74.57
310210,Alto Rio Doce,MG,,50.29
310220,Alvarenga,MG,,60.8
310230,Alvinópolis,MG,,100.0
310240,Alvorada de Minas,MG,,41.61
310260,Andradas,MG,,75.01
310280,Andrelândia,MG,,100.0
310290,Antônio Carlos,MG,,96.46
