cod_munip,nome_munip,pop_munip,pop_atendida_agua,vol_agua_anual,vol_agua_eta,vol_agua_desinfec,vol_agua_fluor,pop_atendida_esgoto,vol_esgoto_coletado,vol_esgoto_tratado,amostra_cloro,amostra_cloro_irregular,amostra_turbidez,amostra_turbidez_irregular,amostra_coliformes,amostra_coliformes_irregular,,cod_prestador,nome_prestador,sigla_prestador,abrangencia_prestador,tipo_prestador,tipo_servico
310340,Araçuaí,36715,23960,1736.15,1736.15,0.00,1736.15,15148,599.89,599.76,7800,0,7698,9,446,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
310340,Araçuaí,36715,2155,133.50,107.52,25.97,133.49,896,35.83,35.83,5864,0,5912,140,1307,1,,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos
310350,Araguari,118361,118361,26587.00,0.00,26587.00,0.00,118361,15181.96,14119.00,8583,200,8583,650,8066,0,,31035011,Superintendência de Água e Esgoto,SAE,Local,Autarquia,Água e Esgoto
310360,Arantina,2779,2359,207.00,0.00,207.00,207.00,,,,517,0,519,9,149,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310360,Arantina,2779,,,,,,2592,113.44,0.00,,,,,,,,31036011,Prefeitura Municipal de Arantina,PMA,Local,Administração pública direta,Esgoto
310370,Araponga,8467,3187,182.20,132.07,50.13,182.20,,,,3675,0,3638,1,285,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310370,Araponga,8467,,,,,,3200,150.00,130.00,,,,,,,,31037011,Prefeitura Municipal de Araponga,PMA,Local,Administração pública direta,Esgoto
310375,Araporã,6992,6992,1410.25,1410.25,0.00,0.00,6992,455.30,364.24,8832,1,8856,23,156,1,,31037511,Prefeitura Municipal de Araporã,PMA,Local,Administração pública direta,Água e Esgoto
310380,Arapuá,2836,2130,840.00,500.00,0.00,500.00,2130,270.00,0.00,2500,0,2500,0,96,0,,31038012,Sistema Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto
310390,Araújos,9523,8229,602.79,602.79,0.00,602.79,7899,336.40,334.20,3650,0,3650,0,530,0,,31039011,Sanarj Concessionária de Saneamento Básico Ltda,SANARJ,Local,Empresa privada,Água e Esgoto
310400,Araxá,108403,101118,8485.16,8485.16,0.00,8485.16,101210,4591.78,3309.57,5478,0,5472,0,1150,6,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
310410,Arceburgo,10990,9098,602.08,301.04,301.04,602.08,8723,376.33,310.65,3372,0,3350,0,230,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
310420,Arcos,40658,36944,3950.71,789.96,3160.75,3950.71,,,,10858,3,10859,0,814,4,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310420,Arcos,40658,,,,,,40658,2700.00,2700.00,,,,,,,,31042011,Prefeitura Municipal de Arcos,PMA,Local,Administração pública direta,Esgoto
310430,Areado,15288,12553,800.23,533.49,266.74,800.23,,,,8394,1,8358,0,396,2,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310440,Argirita,2681,2358,238.00,238.00,0.00,0.00,2358,152.00,25.00,4602,75,4585,45,4586,5,,31044011,Prefeitura Municipal de Argirita,PMA,Local,Administração pública direta,Água e Esgoto
